slippery as an eel;aalglatt
insult, abuse, revile;beschimpfen
hasten, accelerate, expedite;beschleunigen
shut, decide, resolve to;beschließen
truncate, curtail;beschneiden
limited, restricted;beschränkt
describe;beschreiben
charge with, accuse;beschuldigen
grievance, hardship, complaint;Beschwerde (f., -n)
make heavier, burden, weigh down;beschweren
burdensome, hard, troublesome;beschwerlich
calm down, appease, soothe;beschwichtigen
bilk, swindle, deceive;beschwindeln
tipsy;beschwipst
evocations, incantations;Beschwörungen (pl.)
abolish, dispose, eliminate, remove;beseitigen
dispose, abolish, eliminate, remove;beseitigen
broom;Besen (m., --)
obsess;besessen sich
cast, occupy, engage;besetzen
cast, appointment to post;Besetzung (f., -en)
view, inspect, go over;besichtigen
sightseeing;Besichtigung (f., -en)
possession, property, holding;Besitz (m.)
possess, own;besitzen
special, particular;besonder
specific, distinction, characteristic;Besonderheit (f., -en)
prudent, cautious, circumspect;besonnen
procure, take care of;besorgen
concern (n.);Besorgnis (f., -sse)
worried, apprehensive, concerned;besorgt
discuss;besprechen
improve, better, meliorate, amend;bessern (ohne aktive, direkte Einwirkung)
improve;bessern sich
know-it-all, wiseacre;Besserwisser (m., --)
duration, stock, balance of cash;Bestand (m., ¨-e)
continual, perpetual, constant;beständig
component, ingredient, essential part;Bestandteil (m., -e)
confirm, strengthen;bestärken
confirm, acknowledge;bestätigen
bribe;bestechen
persist, endure;bestehen
insist on;bestehen auf
consist of, comprise;bestehen aus
order;bestellen
taxation;Besteuerung (f.)
determine, ascertain, set;bestimmen
certain, specific, determined, designated;bestimmt
certainty, finality, resolution;Bestimmtheit (f., -n)
at best, best possible;bestmöglich
punish, chastise;bestrafen
contest, dispute (v.);bestreiten
dismayed, astounded;bestürtzt
dismay, consternation;Bestürtzung (f., -en)
visit;besuchen
soil, sully;besudeln
stun, daze, anesthetize;betäuben
participate in, take one's share in;beteiligen
party, participant (to a contract);Beteiligte (m., -n)
pray;beten
aver, affirm solemnly;beteuern
concrete;Beton (m.)
stress, emphasize;betonen
consider, view, contemplate;betrachten
considerable, notable, sizeable;beträchtlich
amount to, account for;betragen
behavior, manner;Betragen (n.)
behave, comport;betragen sich
entrust, put in charge of;betrauen
concern, regard, pertain, affect;betreffen
conduct business, practice;betreiben
enter, tread, embarrassed;betreten
support, care;Betreuung (f., -en)
business, factory, plant;Betrieb (m., -e)
industrious;betriebsam
get drunk;betrinken
confounded, struck, shocked;betroffen
sadden, afflict, grieve;betrüben
trick, defraud, cheat, swindle;betrügen
fraudulent, treacherous, deceitful;betrügerisch
beg;betteln
beggar;Bettler (m., --)
swab;betupfen
bend, stoop, bow;beugen
faze, agitate, disconcert, unsettle;beunruhigen
judge, estimate, evaluate, assess;beurteilen
judgment, assessment;Beurteilung (f., -en)
opossum;Beutelratte (f., -n)
populate;bevölkern
before;bevor, ehe, vorher
prefer, favor;bevorzugen
retain, save, protect, preserve;bewahren
parole, probation;Bewährung (f., -en)
move;bewegen (bewegt, bewog, bewogen)
versatile, agile, movable, maneuverable;beweglich
prove, demonstrate;beweisen
leave it at that;bewenden lassen, es dabei
apply for;bewerben
aspirant, candidate, applicant;Bewerber (m., --)
application, candidacy;Bewerbung (f., -en)
bring about, perform;bewerkstelligen
assess, value, appraise;bewerten
valued, assessed, appraised;bewertet
grant, allow, permit;bewilligen
bring about, effect;bewirken
entertain, feast, regale, treat to;bewirten
resident, inhabitant, denizen;Bewohner (m., --)
to cloud;bewölken
advertised;beworben
unconscious;bewußtlos
payable, obtainable (by purchase);bezahlbar
enchant, charm, captivate, enthrall;bezaubern
charming;bezaubernd
characterize, designate, identify;bezeichnen
characteristic, defining, identifying;bezeichnend
accuse;bezichtigen
refer to;beziehen sich auf
relationship, connection, respect;Beziehung (f., -en)
respective, accordingly;beziehungsweise
number, quantify;beziffern
oriented, based, related;bezogen
regarding;bezüglich
overcome, defeat, subjugate, master;bezwingen
bend;biegen (biegt, bog, gebogen)
offer;bieten (bietet, bot, beboten)
balance, financial statement;Bilanz (f., -en)
form, make;bilden
statuary, sculptor, sculpture;Bildhauer (m., --)
screen, monitor (n.);Bildschirm (m., -e)
education;Bildung (f., -en)
link, connector, copula;Bindeglied (n.)
connector, link, go-between;Bindeglied (n.)
bind;binden (bindet, band, gebunden)
within;binnen
ad infinitum;bis ins Unendliche
until now;bisher
biting, cutting;bissig
Please help yourself.;Bitte bedienen Sie sich! 
Please take your things off.;Bitte legen Sie ab! 
Please take a seat.;Bitte nehmen Sie Platz! 
You're welcome!;Bitte schön! 
Please!;Bitte! 
request, ask;bitten (bittet, bat, gebeten)
petition;Bittschrift (f., -en)
disgrace;Blamage (f.)
shiny, bright;blank
blow;blasen (bläst, blies, geblasen)
pale, colorless;blaß
blade, sheet of paper, leaf;Blatt (n., ¨-ern)
smallpox, pustule;Blatter (f., -n)
police car;Blaulicht (n., -er)
sheet metal;Blech (n.)
remain;bleiben (bleibt, blieb, geblieben)
wan, pallid, pale-faced;bleich
blind, dazzle;blenden
look, glance, peer;blicken
appendix (anat.);Blinddarm (m., ¨-e)
blink, wink;blinzeln
log cabin;Blockhütte (f., -n)
dull, stupid;blöd
nonsense, idiocy;Blödsinn (m.)
naked, bare, sheer;bloß
bouquet of flowers;Blumenstrauß (m., ¨-e)
bloom, blossom;Blüte (f., -n)
incest;Blutschande (f.)
bottomless, unimaginable;bodenlos
natural resources;Bodenschätze (pl.)
gust of wind, squall;Böe (f., -n)
bulwark;Bollwerk (n., -e)
bombard;bombardieren
curb, curbstone;Bordstein (m., -e)
borrow;borgen von
stock market or exchange;Börse (f., -n)
market value or capitalization;Börsenbewertung (f., -en)
market value, stock value;Börsenwert (m.)
messenger;Bote (m., -n)
errand;Botengang (m., ¨-e)
message;Botschaft (f., -en)
ambassador;Botschafter (m., --)
fallow land;Brachland (n.)
surf, surge (naut.);Brandung (f.)
roast;braten (brät, briet, gebraten)
usable, serviceable, available;brauchbar
roar, rush (v.);brausen
bride;Braut (f., ¨-e)
break;brechen (bricht, brach, gebrochen)
nausea;Brechreiz (m.)
broad, wide;breit
brake, decelerate;bremsen
burn;brennen (brennt, brannte, gebrannt)
focus, burning point (n.);Brennpunkt (m., -e)
wallet;Brieftasche (f., -n)
glasses, spectacles;Brille (f., -n)
bring;bringen (bringt, brachte, gebracht)
breeze;Brise (f., -n)
crumble, disintegrate;bröckeln
bubble, simmer;brodeln
paperback (adj.);broschiert
brittle, full of flaws;brüchig
bridge;Brücke (f., -n)
broth, stock;Brühe (f.)
drone, hum, rumble;brummen
peevish, grumpy, bearish;brummig 
well, fountain, font;Brunnen (m., --)
chest, thorax;Brustkorb (m.)
brood, sit, incubate;brüten
brood over;brüten über
post, book, enter;buchen
rifle, gun, box;Büchse (f., -n)
literal, literally;buchstäblich
bend down, stoop;bücken
crooked;bucklig
stall, booth, hut, shack;Bude (f., -n)
bow (naut.), prow;Bug (m., ¨-e)
iron;bügeln
stage, platform;Bühne (f., -n)
federal government;Bundesregierung (f., -en)
alliance;Bündnis (n., -sse)
multi-colored, variegated, pied, gay;bunt
castle, citadel, fortress;Burg (f., -en)
citizen, townsperson;Bürger (m., --)
civic, middle class;bürgerlich
sidewalk, pavement;Bürgersteig (m.)
bloke, chap, fellow;Bursche (m., -n)
chief, head, boss;Chef (m., -s)
surgery, surgical ward;Chirurgie (f.)
chronic;chronisch
polite, fair, abiding;coulant
because of that;da
nearby, besides, moreover;dabei
roof, ceiling, canopy;Dach (n., ¨-er)
attic floor, top floor;Dachgeschoss (n.)
ceiling tile;Dachziegel (m., --)
thus, thereby;dadurch
against it, on the other hand;dagegen
then (as in the then-governing body);damalig
then, at that time;damals
with it, so that;damit
goofy, dimwitted, silly, asinine, idiotic;dämlich
dam, causeway, embankment;Damm (m., ¨-e)
thankfully;dankbarerweise
Many thanks!;Danke schön! Vielen Dank! 
Thanks, I'm fine.;Danke, es geht mir gut. 
now and then;dann und wann
It can't be helped.;Daran läßt sich nichts ändern.
thereupon;daraufhin
May I introduce Mr. Stolz.;Darf ich bekannt machen, Herr Stolz.
May I introduce myself;Darf ich mich vorstellen. 
May I present Mrs. Holle.;Darf ich vorstellen, Frau Holle.
loan of money, credit;Darlehen (n., --)
bowels, gut, intestines;Darm (m., ¨-e)
represent, delineate, perform (theater);darstellen
among them;darunter
I'm happy about that.;Das freut mich. 
That's the last straw!;Das ist doch die Höhe! 
That's fabulous!;Das ist fabelhaft! 
It's not so bad.;Das ist ja gar nicht so schlimm. 
That's unbelievable!;Das ist ja unglaublich! 
It's all the same to me!;Das ist mir egal/gleich! 
That's a shame!;Das ist schade! 
That's horrible!;Das ist schrecklich! 
That's awful!;Das ist verheerend! 
I'm glad of that! [old];Das laß ich mir gefallen! 
That's good to hear!;Das läßt sich hören! 
That can't be helped.;Das läßt sich nicht ändern. 
That's nothing to me!;Das macht mir nichts aus! 
That doesn't matter.;Das macht nichts. 
That's fun!;Das macht Spaß! 
That does no harm.;Das schadet nichts. 
That's the last straw!;Das schlägt's dreizehn! 
That's for sure!;Das stimmt! 
One doesn't do that.;Das tut man nicht. 
I'm sorry about that.;Das tut mir leid/weh 
We'll see about that.;Das wird sich finden. 
existence;Dasein (n.)
last, endure;dauern
away;davon
in front of;davor
thereto, in addition to;dazu
appendant, proper, appropriate;dazugehörige
debate (n.);Debatte (f., -n)
debate, discuss;debattieren
debut;Debüt (n.)
ceiling, blanket;Decke (f., -n)
lid, cover;Deckel (m., --)
stretch, extend, dilate;dehnen
dike, embankment;Deich (m., -e)
dent (n.);Delle (f., -n)
denial;Dementi (n.)
deny, contradict;dementieren
accordingly, correspondingly;dementsprechend
humility, meekness, humbleness;Demut (f.)
humiliate, humble;demütigen
ditch, jilt, abandon;den Laufpass geben
conceivable, possible, thinkable;denkbar
think;denken (denkt, dachte, gedacht)
memorable;denkwürdig
for (because);denn
however;dennach
depress;deprimieren
in such a manner, in such a way;derart
meanwhile;derweilen
present (adj.);derzeitig
overkill, too much to ask;des Guten zu viel
disastrous;desaströs
all the, so much the;desto
clarify, explain, interpret;deuten
clear, distinct, plain;deutlich
decentralize;dezentralisieren
dense;dicht
copse, thicket;Dickicht (n., -e)
theft, larceny, thievery;Diebstahl (m., ¨-e)
serve;dienen
service (n.);Dienst (m., -e)
in this regard, regarding this;diesbezüglich
hazy, misty;diesig 
diffuse;diffundieren
discretion, confidentiality;Diskretion (f.)
discussion;Diskussion (f., -en)
discuss;diskutieren
divide;dividieren
indeed;doch
document;Dokument (n., -en)
dagger, knife, dirk;Dolch (m., -e)
interpreter;Dolmetscher (m., --)
double, duplicate;doppeln
over there;dort drüben
to there;dorthin
mastermind, ring leader;Drahtzieher (m., --)
urge, press;drängen
straight on, Go on!;drauflos
dirty, mean, filthy, nasty;dreckig
script (n.);Drehbuch (n., ¨-er)
shoot a movie, revolve, veer;drehen
thresh, thrash;dreschen (drischt, drosch, gedroschen)
break in (horse), finish, drill, train;dressieren
urge, pierce;dringen (dringt, drang, gedrungen)
pressing, urgent, exigent;dringlich
drug (n.);Droge (f., -n)
menace, threaten;drohen
boom, roar, resound, ring;dröhnen
throttle, curtail, restrict, curb;drosseln
print;drücken
Cross your fingers!;Drücken Sie die Daumen! 
dubious;dubios
aroma, scent, fragrance, smell;Duft (m., ¨-e)
great, super;dufte
musty, stuffy, dull;dumpf
seem, appear (rare);dünken sich
thin, weak;dünn
duo;Duo (n.)
arid, withered, gaunt;dür
throughout, absolutely;durchaus
educate or train thoroughly;durchbilden
leaf through, skim;durchblättern
pierce, gore, spear;durchbohren
breakthrough (n.);Durchbruch (m., ¨-e)
permeate, penetrate, seep through;durchdringen
permeable, pervious, penetrable;durchdringlich
chaotic, confused, messy, muddle;durcheinander
jumble;durcheinanderwerfen
fail;durchfallen
feasible, practicable;durchführbar
escort, carry out;durchführen
sweaty, perspired;durchgeschwitzt
take drastic measures;durchgreifen
drastic, radical, sweeping;durchgreifend
thwart, baffle, foil;durchkreuzen
experience, go through, overcome;durchmachen 
drench, soak;durchnässen
see through (a lie);durchschauen
average (adj.);durchschnittlich
push, assert, enforce, achieve;durchsetzen
infiltrate, seep through, percolate, trickle in;durchsickern
survive, weather through;durchstehen
without exception;durchweg
passage;Durchweg (m.)
rummage, rifle, ransack;durchwühlen
allow;dürfen (darf, durfte, gedurft)
shower (bath);Dusche (f., -n)
blast (of a jet engine);Düsenstrahl (m.)
dark, somber, gloomy;düster
dozen;Dutzend (n., -e)
even, precisely;eben
plain, plane, level ground (n.);Ebene (f., -n)
likewise, as well, also, ditto;ebenfalls
in the same way;ebenso
just as much, no less than;ebensoviel
genuine;echt
lordly, kingly, noble, precious, exquisite;edel
gem, jewel, precious stone;Edelstein (m., -e)
ivy;Efeu (m.)
efficient;effizient
equal, all the same;egal
selfishness, ego;Egoismus (m.)
marriage;Ehe (f., -n)
former;ehemalige
brazen;ehern
respectable, honorable;ehrbar
honor (n.);Ehre (f., -n)
census, inquiry, survey, uprising;Ehrebung (f., -en)
honor, respect, esteem, dignify;ehren
honorary member;Ehrenmitglied (n., -er)
respectful;ehrerbietig
respect, awe;Ehrfurcht (f., -en)
ambition;Ehrgeiz (m., -e)
ambitious;ehrgeizig
honest;ehrlich
oak tree;Eiche (f., -n)
squirrel;Eichhörnchen (n., --)
oath, under oath;Eid (m., -e), unter Eid
jealous;eifersüchtig auf
eager, avid, fervent, intent;eifrig
quirk, idiosyncrasy, characteristic;Eigenart (f., -en)
of its own;eigenen
mannerism, peculiarity;Eigenheit (f., -en)
equity, net worth, stockholders' equity;Eigenkapital (n.)
return on equity;Eigenkapitalrendite (f.)
adjective;Eigenschaftswort (n., ¨-e)
statehood;Eigenstaatlichkeit (f., -en)
actually;eigentlich
property, estate;Eigentum (m., ¨-er)
singular, idiosyncratic, peculiar;eigentümlich
pail, bucket;Eimer (m., --)
turn a blind eye;ein Auge zudrücken
a few;ein paar
incinerate, cremate;einäschern
convene, convoke, call up (mil.);einberufen
fancy, imagine;einbilden
burglar, intruder;Einbrecher (m., --)
fetch, yield, bring in;einbringen
